"label","Text","id"
"Happy","ልቡ በደስታ ዘለለ","1"
"Happy","የደስታ ማዕበል ተሰማው","2"
"Happy","በደስታ ሽባ ነበርኩ","3"
"Happy","ስሜቷ ተነሳ","4"
"Happy","በደስታ እየፈነጠቀች ነበር","5"
"Happy","ደስታውን መቆጣጠር አልቻለም","6"
"Happy","ስሜቱ ቀለለ","7"
"Happy","መንፈሴ ብሩህ ሆነ","8"
"Happy","ተስፋ በውስጧ አበቀለ","9"
"Happy","ውስጡ ደስታ ተንፀባርቋል","10"
"Happy","ድንገት የደስታ ነበልባል ተሰማው","11"
"Happy","ደስታዬን በጭንቅ መደበቅ እችል ነበር","12"
"Happy","በደስታ ልቧ ተቀበረች","13"
"Happy","የፀሐይ ብርሃን ነፍሷን አጥለቀለቃት","14"
"Happy","መንፈሱ ወደ ላይ እየበረረ ነበር","15"
"Happy","ተስፋዋ ጨመረ","16"
"Happy","እግሮ በጭንቅ መሬት እንደሚነኩ ይሰማታል","17"
"Happy","ደስታ ዋጠኝ","18"
"Happy","ነፍሷን አስደሰታት","19"
"Happy","ደስታም ያዘው","20"
"Happy","ውስጥ ፣ ፈገግ አለች","21"
"Happy","በደስታ ሊዘለል ተቃርቧል","22"
"Happy","ደስታም ደርሶታል","23"
"Happy","በእሷ ውስጥ እምቢተኛ ደስታን ወሰደች","24"
"Happy","ደስታ ልክ እንደ ኮሜት በእርሱ በኩል ፈሰሰ","25"
"Happy","በእርሱ የተረጋጋ እርካታ","26"
"Happy","እርካታ ልቧን ሞላው","27"
"Happy","ደስታ በውስጧ ተንቀጠቀጠ","28"
"Happy","ልቡ ተስፋ ለማድረግ ደፈረ","29"
"Happy","ደስታ በእሷ ውስጥ አበበ","30"
"Happy","ምስጋና በእሷ በኩል ፈሰሰ","31"
"Happy","በሕይወቷ ውስጥ ደስተኛ ሆና ታውቃለች?","32"
"Happy","ስሜቱን ከፍ አደረገው","33"
"Happy","እሱ መቼም ደስተኛ ሊሆን እንደሚችል ማሰብ አልቻለም","34"
"Happy","ደስታዋ እንደ አበባ ተገለጠ","35"
"Happy","የደስታ ጭላንጭል ተሰማት","36"
"Happy","በደስታ ማዞር ተሰማው","37"
"Happy","ደስታ በውስጤ ፈጠነ","38"
"Happy","ደስታዬ በጣም ኃይለኛ ስለነበረ ፈርቶኛል","39"
"Happy","በደስታ ይሞታል ብሎ አሰበ","40"
"Happy","ልቧ እየዘፈነ ነበር","41"
"Happy","በደስታ ሰክራለች","42"
"Happy","በደስታ ሰክሮ ነበር","43"
"Happy","ልቡ በደስታ ተመታ","44"
"Happy","በከባድ ደስታ ተቃጠለች","45"
"Happy","ደስታ በላዩ ፈሰሰ","46"
"Happy","ከምትወስደው የበለጠ ደስታ ነበር ማለት ይቻላል","47"
"Happy","ጥልቅ ደስታን ያውቅ ነበር","48"
"Happy","ደስታዋ አደገ","49"
"Happy","እኔ በደስታ ዱር ነበርኩ","50"
"Happy","ደስታ በእርሱ ውስጥ ተስፋፍቷል","51"
"Happy","በደስታ ተሞልቶ ነበር","52"
"Happy","ደስታ በውስጧ ፈነጠቀ","53"
"Happy","ደስታ በውስጤ ብልጭ አለ","54"
"Happy","ደስታ በሀሳቧ ዳንስ","55"
"Happy","በደስታ ሊወድቅ ተቃርቧል","56"
"Happy","መንፈሱን አነሳው","57"
"Happy","መንፈሴን አሳድጎኛል","58"
"Happy","እርካታ ከውስጥ ሞቃት","59"
"Happy","ደስታ በእርሱ በኩል ፈሰሰ","60"
"Happy","እሱ የበለጠ ሕያው ሆኖ አያውቅም","61"
"Happy","ሙሉ እና በሚያስደንቅ ሁኔታ በሕይወት እንደነበረች ተሰማት","62"
"Happy","በደስታ ኃይል ተሞላሁ","63"
"Happy","በደስታ ማልቀስ ትችላለች","64"
"Happy","ለደስታ መጮህ ፈልጌ ነበር","65"
"Happy","እርሱ በምስጋና ደካማ ነበር","66"
"Happy","ልቡ በደስታ ተመታ","67"
"Happy","እርካታው ስሜቷን አነቃች","68"
"Happy","ድንገተኛ የደስታ ስሜት አስገረመው","69"
"Happy","ያልተጠበቀ ደስታ በላችው","70"
"Happy","ደስታ የማይበገር ሆኖ እንዲሰማኝ አደረገኝ","71"
"Happy","ደስታ በእርሱ በኩል ወጣ","72"
"Happy","ምስጋናዋ በውስጧ ወጣ","73"
"Happy","የደስታ ስሜት ተሰማው","74"
"Happy","በእርሱ በኩል ደስታ ተስተጋባ","75"
"Happy","በደስታ ተጓጓዘች","76"
"Happy","ለመሸከም በጣም ደስታ ነበር ማለት ይቻላል","77"
"Happy","እርካታ በልቧ ተንጠልጥሏል","78"
"Happy","በደስታ ተሸነፈ","79"
"Happy","እርሱ ከሚያውቁት ሁሉ የበለጠ ደስታን አወጣ","80"
"Happy","መንፈሷ ከፍ ከፍ አለ","81"
"Happy","የደስታ ጨረር አመጣለት","82"
"Happy","የደስታ ሹክሹክታ ተሰማት","83"
"Happy","የደስታ መንቀጥቀጥ ተሰማው","84"
"Happy","የተስፋ መውጋት ተሰማት","85"
"Happy","በነፍሱ ውስጥ እርካታ ተቀመጠ","86"
"Happy","ደስታ በእሷ ላይ ታጠበ","87"
"Happy","ነፍሱ በረረች","88"
"Happy","ከመላው ዓለም ጋር ፍቅር እንዳላት ተሰማት","89"
"Happy","ለተሰማው ምስጋና ምንም ቃላት አልነበረውም","90"
"Happy","እሷ በደስታ ተናፈሰች","91"
"Happy","እንደ ተንሳፈፈች ተሰማት","92"
"Happy","እርሱ በሰማይ ነበር","93"
