"Emotion","Text"
"Anger","በማስታወሻው ላይ በንዴት እየነደደ ነበር "
"Anger","እንዳሰበች እንኳን ቁጣዋ ከርስታቸው ጋር ምንም ግንኙነት እንደሌለው ታውቅ ነበር "
"Anger","ድምፁ ለስላሳ  ንዴት ድንገት ያለፈ ጊዜ ያለፈ ነገር ነበር "
"Anger","ቁጣው በግልጽ ታይቷል "
"Anger","ቁጣ እንደገና በፊቷ ላይ ታየ "
"Anger","እርሷ ራቀች  ቁጣዋ በእሱ ላይ እየተንከባለለ "
"Anger","በእሱ ላይ የተሰማችው ቁጣ ሳይሆን  ረሃብ ነበር  "
"Anger","በፊቱ ላይ የሚታየው የቁጣ ገጽታ ቁጣዋን በፍርሃት ቀየረው "
"Anger","የእሱ ቁጣ መሠረተ ቢስ ነበር ግን በአቀራረብ ዘዴው የተወሰኑ ጥፋቶችን መቀበል ነበረባት"
"Anger","በቁጣዋ መነሳት ሌላ ስሜት መጣ-የተቀበለችውን አንድ ሰው ጁሌን ስላገኘች ምስጋና "
"Anger","በንዴት ተናወጠ  ሀዘን ፊቱን ሞላው "
"Anger","በውስጧ ቁጣ እና ሽብር ነፈሰ "
"Anger","በአልጋዋ ላይ ተኝታ  የተናደደ እና የተጎዳ ስሜት ተሰማት "
"Anger","ቁጣውንም ሆነ ፀፀቱን እያየች ቀና ብላ ተመለከተችው "
"Anger","ምክንያቱን ሳይረዳ ቁጣው ቀንሷል "
"Anger","ቀና ብላ ተመለከተች ፍርሃት እና ቁጣ በእሷ ውስጥ ይንፀባርቃል "
"Anger","የቁጣዋ ሙቀት ጠፋ  በፍርሃት ተተካ "
"Anger","በጠላት ላይ የቁጣ ልብ ወለድ ስሜት የራሱን ሀዘን እንዲረሳው አደረገው "
"Anger","የፍርሃት ስሜትን መንቀጥቀጥ ባለመቻሉ ቁጣው እስኪበርድ ድረስ ታገለው "
"Anger","በፊቱ ላይ ባለው እርካታ ላይ ቁጣ በውስጧ ተቀሰቀሰ "
"Anger","አለች በትንሽ ቁጣ "
"Anger","ቁጣዋ ወደ አሳቢነት ተቀየረ "
"Anger","ዝምታው ከቁጣው የከፋ ነበር "
"Anger","የእሷ ሞቅነት እና ግልፅነት ከቁጣው ላይ ጠርዙን ለማንሳት በቂ መሣሪያ አስይዘውታል "
"Anger","በድምፁ ውስጥ የታወቀ የቁጣ ማስታወሻ ነበር "
"Anger","ከፊቱ የሚጠብቀውን ከመፍራት ይልቅ ከቁጣ በቀር ምንም አልተሰማውም "
"Anger","ንዴት በእሷ በኩል ወጣ "
"Anger","የመርሃግብሮች ዝርዝሮች ትናንት ማታ በተሸሸገ ማስታወሻ ውስጥ ብቅ ብለዋል  በፓርላማ አባላት ዘንድ ቁጣ ፈጠረ "
"Anger","ከዛ ፍርሃት ጋር የተደባለቀ ቁጣ  ሀዘን  እፍረት እና ግራ መጋባት ነበር "
